id,timestamp,day,qtype,question,answer,explain,reference,reference_code,reference_url,options_json,correct_key
b8186b28890d40e5912969e15bd483c9,2026-09-17T15:56:40,2,text,Hãy giải thích tầm quan trọng của việc xác định rõ Problem Statement trong quy trình phát triển AI.,Problem Statement rõ ràng giúp định hình các tiêu chí kiểm thử và hướng đi cho dự án AI.,Một Problem Statement rõ ràng là nền tảng để phát triển các giải pháp AI hiệu quả.,Từ yêu cầu mơ hồ đến Problem Statement rõ ràng.,[T02-001],output/transcript/transcript-02-clean.md#T02-001,,
4e826dce0f0b420b8b6c46d969e84909,2026-09-17T15:56:40,2,mcq,"Quá trình nào được mô tả là 'Phân kỳ để thấu hiểu sâu sắc, hội tụ để lựa chọn chính xác' trong việc xác định bài toán cho AI?",DISCOVER,Quá trình DISCOVER liên quan đến việc khám phá và mở rộng góc nhìn để hiểu rõ vấn đề.,"Diamond 1 — Tìm đúng vấn đề — Phân kỳ để thấu hiểu sâu sắc, hội tụ để lựa chọn chính xác",[T02-004],output/transcript/transcript-02-clean.md#T02-004,"[""DEFINE"", ""DISCOVER"", ""EVALUATE"", ""IMPLEMENT""]",B
0d6b3f2a429d4645b645143505a73a4b,2026-09-17T15:56:40,2,mcq,Sai lầm nào thường gặp khi xây dựng giải pháp AI quá sớm?,Không lượng hóa tổn thất hiện tại,Không lượng hóa tổn thất hiện tại dẫn đến mất căn cứ đánh giá hiệu quả cải tiến.,"Không lượng hóa tổn thất hiện tại, dẫn đến mất căn cứ đánh giá hiệu quả cải tiến.",[T02-007],output/transcript/transcript-02-clean.md#T02-007,"[""Không lượng hóa tổn thất hiện tại"", ""Đánh giá hiệu quả cải tiến"", ""Thiết lập kịch bản kiểm thử"", ""Rõ ràng phạm vi tự chủ của AI""]",A
a35f165d4f6e4da18b07737705c5aa1b,2026-09-17T15:56:40,2,mcq,"Trong quy trình xác định bài toán, câu hỏi nào không nên được đặt ra?",Cần bao nhiêu người tham gia?,Câu hỏi này không liên quan đến việc xác định bài toán mà chỉ liên quan đến số lượng người tham gia.,Câu hỏi khai thác bài toán — Bộ câu hỏi định hình vấn đề dành cho các bên liên quan hoặc chính mình,[T02-010],output/transcript/transcript-02-clean.md#T02-010,"[""Hao phí hiện tại là bao nhiêu?"", ""Có giải pháp phi AI đơn giản hơn?"", ""Cần bao nhiêu người tham gia?"", ""Nút thắt nằm ở đâu?""]",C
ac1547776fac4335a0728a6e761913b8,2026-09-17T15:56:40,2,mcq,Khi nào AI có lợi thế theo mô hình PAIR?,Khi bài toán nằm trong nhóm 'AI probably better',AI chỉ nên được áp dụng khi bài toán nằm trong nhóm này để đảm bảo hiệu quả.,Khi nào AI có lợi thế? — Tám trường hợp PAIR gọi là 'AI probably better',[T02-014],output/transcript/transcript-02-clean.md#T02-014,"[""Khi bài toán có tính chất đơn giản"", ""Khi bài toán nằm trong nhóm 'AI probably better'"", ""Khi người dùng có khả năng tự làm"", ""Khi không có giải pháp phi AI nào khả thi""]",B
ffc2ec094c4b4539939f2cc1a9708633,2026-09-17T15:56:40,2,mcq,Khi nào AI nên được sử dụng để tự động hóa?,"Khi việc khó, nhàm chán, nguy hiểm hoặc cần scale",AI nên được sử dụng để tự động hóa trong các tình huống khó khăn hoặc nguy hiểm.,"Chọn khi: · Việc khó, nhàm chán, nguy hiểm hoặc cần scale",[T02-017],output/transcript/transcript-02-clean.md#T02-017,"[""Khi người dùng thích tự làm việc đó"", ""Khi việc khó, nhàm chán, nguy hiểm hoặc cần scale"", ""Khi kết quả cần trách nhiệm cá nhân"", ""Khi có nhiều giải pháp phi AI đơn giản hơn""]",B
288aa512dd2c4b45a09d1c197baa7b67,2026-09-17T15:56:40,2,mcq,"Trong quy trình Prompt Chaining, điều gì xảy ra sau khi thực hiện các LLM Call?",Kết quả được tổng hợp,"Sau khi thực hiện các LLM Call, kết quả sẽ được tổng hợp để đưa ra đầu ra cuối cùng.","Chạy song song rồi tổng hợp (sectioning), hoặc chạy nhiều lần lấy vote.",[T02-020],output/transcript/transcript-02-clean.md#T02-020,"[""Kết quả được đưa ra ngay lập tức"", ""Kết quả được tổng hợp"", ""Kết quả được lưu trữ"", ""Kết quả được phân tích chi tiết""]",B
d0238647b91b44769fb8a45b899f7105,2026-09-17T15:56:40,2,mcq,Nguyên tắc nào được đề xuất trong việc xây dựng các mô hình AI?,Chỉ tăng độ phức tạp khi thực sự cần thiết,Nguyên tắc này giúp tối ưu hóa quy trình và giảm thiểu rủi ro.,Luôn ưu tiên giải pháp đơn giản nhất; chỉ tăng độ phức tạp khi thực sự cần thiết.,[T02-024],output/transcript/transcript-02-clean.md#T02-024,"[""Tăng độ phức tạp ngay từ đầu"", ""Chỉ tăng độ phức tạp khi thực sự cần thiết"", ""Giảm thiểu mọi yếu tố không cần thiết"", ""Sử dụng nhiều mô hình phức tạp cùng lúc""]",B
1e84cecb8dc6494e8205735a18149ea7,2026-09-17T15:56:40,2,text,Tại sao cần phải cân bằng giữa Precision và Recall trong hệ thống AI?,Cần cân bằng giữa Precision và Recall để đảm bảo gợi ý chất lượng mà không bỏ sót người dùng cần giúp.,Việc đánh đổi giữa Precision và Recall là một thách thức trong thiết kế hệ thống AI.,Precision ↔ Recall: đánh đổi không tránh khỏi,[T02-027],output/transcript/transcript-02-clean.md#T02-027,,
3d67e49557654b759e9ea30bea2d2829,2026-09-17T15:56:40,2,text,Hãy mô tả quy trình kiểm thử trong việc phát triển AI theo nội dung bài giảng.,Quy trình kiểm thử bao gồm việc xác định chỉ số hiệu năng và kiểm tra các kịch bản thực tế.,Quy trình này giúp đảm bảo rằng hệ thống AI hoạt động đúng và hiệu quả.,Từ Problem Statement đến Eval Plan — Problem Statement rõ ràng giúp định hình cụ thể các tiêu chí kiểm thử.,[T02-030],output/transcript/transcript-02-clean.md#T02-030,,
